Acquisition Name,Type,Case Number,Acquirer(s),Target(s) / Vendor(s),M&A Sector,Other Parties,Notification / Application Date,Stage,Acquisition Status,End of Determination Period,Determination Period Calendar Days (ACT),Determination Period Business Days (ACT),Elapsed Calendar Days to Decision,Elapsed Business Days to Decision (ACT),ACCC Determination,Determination Publication Date,ANZSIC Code(s),URL,Decisions and Key Events,Consultation Text,Questionnaire,Consultation Documents,ACCC Page Last Modified,Last Scraped (UTC)
Publicis Groupe - LiveRamp,Notification,MN-60026,"MMS USA Holdings, Inc.; Delaware ID 3497138","LiveRamp Holdings, Inc.; Delaware ID 00138669",Technology and Software; Professional Services; Veterinary Services,"Covey Merger Sub, Inc.; Delaware ID 10622331; Publicis Groupe S.A.; Paris Trade and Companies Registry no. 542 080 601",2026-07-27,Phase 1 - initial assessment,Under assessment,2026-09-07,42.0,31.0,,,,,5921 Data Processing and Web Hosting Services; 6940 Advertising Services; 6950 Market Research and Statistical Services; 7000 Computer System Design and Related Services,https://www.accc.gov.au/public-registers/mergers-and-acquisitions-registers/acquisitions-register/publicis-groupe-liveramp,,The period for providing submissions or information in response to the ACCC's Phase 1 questionnaire has concluded.,Y,,2026-08-04T16:23:30+10:00,2026-08-11T01:56:49.469233Z
Obayashi Corporation – Multiplex,Notification,MN-05031,Obayashi UK Holdings Limited; UK Company No.17229281; Obayashi Corporation; 86 002 932 756,BCI UK Holdings Ltd; UK Company No 9945869,Construction and Engineering,,2026-07-27,Phase 1 - initial assessment,Under assessment,2026-09-07,42.0,31.0,,,,,3019 Other Residential Building Construction; 3020 Non-Residential Building Construction,https://www.accc.gov.au/public-registers/mergers-and-acquisitions-registers/acquisitions-register/obayashi-corporation-%E2%80%93-multiplex,,The period for providing submissions or information in response to the ACCC’s Phase 1 questionnaire has concluded.,Y,,2026-08-03T18:19:05+10:00,2026-08-11T01:56:49.469233Z
Estia Health – AnglicareSA residential aged care business,Notification,MN-55029,ESTIA INVESTMENTS PTY. LTD.; 87 164 350 387,ANGLICARE SA LTD.; 69 187 578 153,Social Assistance,ESTIA HEALTH TOPCO PTY LTD; 47 669 884 244,2026-07-24,Phase 1 - initial assessment,Under assessment,2026-09-04,42.0,31.0,,,,,8601 Aged Care Residential Services; 8609 Other Residential Care Services,https://www.accc.gov.au/public-registers/mergers-and-acquisitions-registers/acquisitions-register/estia-health-%E2%80%93-anglicaresa-residential-aged-care-business,,The period for providing submissions or information in response to the ACCC's Phase 1 questionnaire has concluded.,Y,,2026-08-04T11:18:24+10:00,2026-08-11T01:56:49.469233Z
Petalite – Envu,Notification,MN-90024,Petalite Investment Pte. Ltd; Singapore Unique Identifier - 202021849G,Cinven Discovery Holdings Limited Partnership; Guernsey registration number - LP4308,Manufacturing; Asset Management and Investment,Envu Group; GIC Pte. Ltd; Singapore Unique Identifier - 198102265N,2026-07-24,Phase 1 - initial assessment,Under assessment,2026-09-04,42.0,31.0,,,,,1832 Pesticide Manufacturing; 6240 Financial Asset Investing,https://www.accc.gov.au/public-registers/mergers-and-acquisitions-registers/acquisitions-register/petalite-%E2%80%93-envu,,The period for providing submissions or information in response to the ACCC’s Phase 1 questionnaire has concluded.,Y,,2026-08-03T09:18:06+10:00,2026-08-11T01:56:49.469233Z
"Coles – supermarket site in Upper Swan, WA",Notification,MN-05030,COLES SUPERMARKETS AUSTRALIA PTY LTD; 45 004 189 708,The Trustee for Saracen Property Holdings Unit Trust; 59 505 202 814,Supermarkets and Grocery Retail,,2026-07-24,Phase 1 - initial assessment,Under assessment,2026-09-04,42.0,31.0,,,,,4110 Supermarket and Grocery Stores,https://www.accc.gov.au/public-registers/mergers-and-acquisitions-registers/acquisitions-register/coles-%E2%80%93-supermarket-site-in-upper-swan-wa,,The period for providing submissions or information in response to the ACCC's Phase 1 questionnaire has concluded.,Y,,2026-08-03T10:40:08+10:00,2026-08-11T01:56:49.469233Z
McCarroll's Automotive Group - Kinghorn Motor Group & Country Motor Company,Notification,MN-65026,MCCARROLL PROPERTY HOLDINGS PTY LTD; 64 676 724 306; MAG SOUTH COAST PTY LTD; 70 683 627 590,Glenn Ype Buikstra Family Will Trust; Donna Lea Buikstra Family Will Trust; COUNTRY MOTOR COMPANY PTY LTD; 11 002 189 228; KJO PROPERTY PTY LTD; 33 169 760 178; KINGHORN MOTORS PTY LTD; 33 000 220 557,Automotive Retail; Property and Real Estate; Other Services,MAG BODY CORP PTY LTD; 93 676 724 495; MAG NORTHERN BEACHES PTY LTD; 21 659 209 051; MCCARROLL'S OF MOSS VALE PTY LTD; 60 003 411 210,2026-07-22,Phase 1 - initial assessment,Under assessment,2026-09-02,42.0,31.0,,,,,"3911 Car Retailing; 3921 Motor Vehicle Parts Retailing; 6712 Non-Residential Property Operators; 9412 Automotive Body, Paint and Interior Repair; 9419 Other Automotive Repair and Maintenance",https://www.accc.gov.au/public-registers/mergers-and-acquisitions-registers/acquisitions-register/mccarrolls-automotive-group-kinghorn-motor-group-country-motor-company,,The period for providing submissions or information in response to the ACCC's Phase 1 questionnaire has concluded.,Y,,2026-07-30T11:56:12+10:00,2026-08-11T01:56:49.469233Z
Ambrose Construct Group – Major Loss Builders,Notification,MN-10021,Insurance Building Australia Operations Pty Ltd; 80 661 826 026,Major LB Pty Ltd; 72 611 974 540,Construction and Engineering; Business Services,,2026-07-22,Phase 1 - initial assessment,Under assessment,2026-09-02,42.0,31.0,,,,,3011 House Construction; 3019 Other Residential Building Construction; 3020 Non-Residential Building Construction; 7311 Building and Other Industrial Cleaning Services,https://www.accc.gov.au/public-registers/mergers-and-acquisitions-registers/acquisitions-register/ambrose-construct-group-%E2%80%93-major-loss-builders,,The period for providing submissions or information in response to the ACCC’s Phase 1 questionnaire has concluded.,Y,,2026-07-30T15:04:59+10:00,2026-08-11T01:56:49.469233Z
Vertex – Crinetics,Notification,MN-05036,Vertex Pharmaceuticals Incorporated; EIN - 04-3039129,Crinetics Pharmaceuticals Inc.; EIN 26-3744114,Pharmaceutical Manufacturing; Professional Services,"Clark Merger Sub, Inc; DE File Number: 10678660",2026-07-21,Phase 1 - initial assessment,Under assessment,2026-09-01,42.0,31.0,,,,,1841 Human Pharmaceutical and Medicinal Product Manufacturing; 6910 Scientific Research Services,https://www.accc.gov.au/public-registers/mergers-and-acquisitions-registers/acquisitions-register/vertex-%E2%80%93-crinetics,,The period for providing submissions or information in response to the ACCC’s Phase 1 questionnaire has concluded.,Y,,2026-07-29T21:21:06+10:00,2026-08-11T01:56:49.469233Z
L'Oréal - Innovist,Notification,MN-35029,L'Oréal India Private Limited,Onesto Labs Private Limited; CIN - U74999DL2018PTC340749,Wholesale Trade; Retail Trade,L'Oréal S.A.; SIREN - 632 012 100,2026-07-21,Phase 1 - initial assessment,Under assessment,2026-08-31,41.0,30.0,,,,,"3720 Pharmaceutical and Toiletry Goods Wholesaling; 4271 Pharmaceutical, Cosmetic and Toiletry Goods Retailing",https://www.accc.gov.au/public-registers/mergers-and-acquisitions-registers/acquisitions-register/lor%C3%A9al-innovist,,The period for providing submissions or information in response to the ACCC’s Phase 1 questionnaire has concluded.,Y,,2026-07-29T17:06:36+10:00,2026-08-11T01:56:49.469233Z
Sanad Services and Tikehau Capital – Revima,Notification,MN-25037,Dream BidCo; RCS Paris - 102 698 263,Revima Holding SAS; RCS Rouen - 845 266 725,Automotive Manufacturing; Asset Management and Investment,Ace Aéro Partenaires II S.L.P. represented by Tikehau Investment Management SAS; RCS Paris - 982 137 812; Sanad Services Group owned by One Hundred and Seven Investment RSC LTD – Sole Proprietorship L.L.C.; CN-2969483; Mubadala Investment Company PJSC; CN‑2302788; Tikehau Capital SCA; RCS Paris - 477 599 104,2026-07-21,Phase 1 - initial assessment,Under assessment,2026-09-01,42.0,31.0,,,,,2394 Aircraft Manufacturing and Repair Services; 6240 Financial Asset Investing,https://www.accc.gov.au/public-registers/mergers-and-acquisitions-registers/acquisitions-register/sanad-services-and-tikehau-capital-%E2%80%93-revima,,The period for providing submissions or information in response to the ACCC’s Phase 1 questionnaire has concluded.,Y,,2026-07-30T11:48:51+10:00,2026-08-11T01:56:49.469233Z
Baupost – McDermott,Waiver,WA-20030,"Baupost Group Securities, L.L.C.; Legal Entity Identifier- 549300B87FCL68LWRE04","McDermott International, Ltd; Bermuda company number - 55624",Construction and Engineering; Asset Management and Investment; Professional Services,,2026-07-21,Waiver application,Assessment completed,,,,14,11,Approved,2026-08-04,3109 Other Heavy and Civil Engineering Construction; 6240 Financial Asset Investing; 6923 Engineering Design and Engineering Consulting Services,https://www.accc.gov.au/public-registers/mergers-and-acquisitions-registers/acquisitions-register/baupost-%E2%80%93-mcdermott,4 Aug 2026: Notification waiver determination published,,,,2026-08-04T17:24:49+10:00,2026-08-11T01:56:49.469233Z
CRH - Arcosa,Waiver,WA-55030,"Neon Merger Sub, Inc.; 10667310","Arcosa, Inc.; 6852687",Manufacturing; Asset Management and Investment,"CRH Americas, Inc.; 3443923",2026-07-21,Waiver application,Assessment completed,,,,14,11,Approved,2026-08-04,2221 Structural Steel Fabricating; 6240 Financial Asset Investing,https://www.accc.gov.au/public-registers/mergers-and-acquisitions-registers/acquisitions-register/crh-arcosa,4 Aug 2026: Notification waiver determination published,,,,2026-08-04T17:30:40+10:00,2026-08-11T01:56:49.469233Z
Expedia - CarTrawler,Notification,MN-90022,"Expedia Group, Inc.; I.R.S. Employer Identification No.-20-2705720; Expedia Group International Holdings II, LLC; Delaware Secretary of State-7172515 I.R.S Employer Identification No.-83-2737894",Ballast Group Holdings Ltd; 018092V,Accommodation and Hospitality; Business Services,trivago NV; 67222927; Stayz Pty Limited,2026-07-20,Phase 1 - initial assessment,Under assessment,2026-08-31,42.0,31.0,,,,,4400 Accommodation; 7220 Travel Agency and Tour Arrangement Services,https://www.accc.gov.au/public-registers/mergers-and-acquisitions-registers/acquisitions-register/expedia-cartrawler,,The period for providing submissions or information in response to the ACCC's Phase 1 questionnaire has concluded.,Y,,2026-07-28T17:05:03+10:00,2026-08-11T01:56:49.469233Z
Bain Capital - Everllence,Waiver,WA-40033,"Bain Capital Investors, LLC; Delaware File No. - 3229725; Nikolaus (BC) Bidco GmbH; Handelsregister (HRB) - 312146",Volkswagen Aktiengesellschaft; Handelsregister (HRB) - 100484; Everllence SE; Handelsregister (HRB) - 22056; Volkswagen Vermögensverwaltungs GmbH; Handelsregister (HRB) - 200525,Automotive Manufacturing; Manufacturing; Energy and Utilities; Asset Management and Investment; Other Services,,2026-07-20,Waiver application,Assessment completed,,,,14,11,Approved,2026-08-03,2311 Motor Vehicle Manufacturing; 2469 Other Specialised Machinery and Equipment Manufacturing; 2499 Other Machinery and Equipment Manufacturing n.e.c.; 2611 Fossil Fuel Electricity Generation; 6240 Financial Asset Investing; 9429 Other Machinery and Equipment Repair and Maintenance,https://www.accc.gov.au/public-registers/mergers-and-acquisitions-registers/acquisitions-register/bain-capital-everllence,3 Aug 2026: Notification waiver determination published,,,,2026-08-03T22:10:59+10:00,2026-08-11T01:56:49.469233Z
Syngenta Crop Protection and Dümmen Orange – Joint Venture Formation,Notification,MN-01109,Syngenta Crop Protection AG; CHE - 108.526.832; Watson BidCo B.V.; KVK 64347605,Joint Venture,Agriculture and Agribusiness,Stichting Administratiekantoor Casper Holdco; KVK - 93565348; Sinochem Holdings Corporation Ltd; USCC - 91133100MA0GBL5F38,2026-07-17,Phase 1 - initial assessment,Under assessment,2026-08-28,42.0,31.0,,,,,0111 Nursery Production (Under Cover),https://www.accc.gov.au/public-registers/mergers-and-acquisitions-registers/acquisitions-register/syngenta-crop-protection-and-d%C3%BCmmen-orange-%E2%80%93-joint-venture-formation,,The period for providing submissions or information in response to the ACCC’s Phase 1 questionnaire has concluded.,Y,,2026-07-27T16:09:19+10:00,2026-08-11T01:56:49.469233Z
UPM-Kymmene – Sappi joint venture,Notification,MN-30023,UPM-Kymmene Corporation; Finnish Business ID - 1041090-0; Sappi Limited; Registration number - 1936/008963/06,UPM Communication Papers Holding Oy (TopCo); Finnish Business - ID 3591662-5,Manufacturing,UPM-KYMMENE PTY LTD; 99 001 255 661; UPM Communication Papers Oy; 2760641-6; SAPPI TRADING AUSTRALIA PTY LIMITED; 17 086 317 071,2026-07-16,Phase 1 - initial assessment,Under assessment,2026-09-10,56.0,41.0,,,,,"1510 Pulp, Paper and Paperboard Manufacturing",https://www.accc.gov.au/public-registers/mergers-and-acquisitions-registers/acquisitions-register/upm-kymmene-%E2%80%93-sappi-joint-venture,10 Aug 2026: Timeline extended by 10 business days – following request by parties,The period for providing submissions or information in response to the ACCC’s Phase 1 questionnaire has concluded.,Y,,2026-08-10T13:12:13+10:00,2026-08-11T01:56:49.469233Z
Acrow - Ausgroup Industrial Services,Notification,MN-60025,ACROW LIMITED; 36 124 893 465,RADBYRN PTY LTD; 50 632 483 268,Construction and Engineering; Property and Real Estate,AUSGROUP INDUSTRIAL SERVICES (QLD) PTY LTD; 80 144 047 263,2026-07-16,Phase 1 - initial assessment,Assessment completed,2026-08-27,42.0,31.0,,,Approved,,3299 Other Construction Services n.e.c.; 6631 Heavy Machinery and Scaffolding Rental and Hiring,https://www.accc.gov.au/public-registers/mergers-and-acquisitions-registers/acquisitions-register/acrow-ausgroup-industrial-services,10 Aug 2026: Acrow - Ausgroup Industrial Services - Phase 1 Determination,,,,2026-08-10T16:40:55+10:00,2026-08-11T01:56:49.469233Z
Total Drain Group - Pipe Management Australia,Notification,MN-15028,TOTAL DRAIN GROUP PTY LTD; 78 621 479 981,HEADWORKS AUSTRALIA PTY LTD; 39 637 942 646; UTILITY MANAGEMENT GROUP PTY LTD; 39 644 190 527,Energy and Utilities; Waste and Environmental Services; Construction and Engineering,QUADRANT PRIVATE EQUITY NO.6A PTY LIMITED; 622 297 750,2026-07-15,Phase 1 - initial assessment,Under assessment,2026-08-26,42.0,31.0,,,,,2812 Sewerage and Drainage Services; 2919 Other Waste Collection Services; 2921 Waste Treatment and Disposal Services; 3109 Other Heavy and Civil Engineering Construction,https://www.accc.gov.au/public-registers/mergers-and-acquisitions-registers/acquisitions-register/total-drain-group-pipe-management-australia,,The period for providing submissions or information in response to the ACCC's Phase 1 questionnaire has concluded.,Y,,2026-07-22T17:00:29+10:00,2026-08-11T01:56:49.469233Z
Laundy – Woy Woy Hotel,Notification,MN-40029,LAUNDY WOY TRADING PTY LTD; 29 696 470 345; LAUNDY WOY FREEHOLD PTY LTD; 65 696 471 306,HARVEST PUB OPERATIONS 2 PTY LTD; 51 652 748 242; AMAL TRUSTEES PTY LIMITED; 98 609 737 064,Supermarkets and Grocery Retail; Accommodation and Hospitality; Property and Real Estate,,2026-07-15,Phase 1 - initial assessment,Under assessment,2026-08-26,42.0,31.0,,,,,"4123 Liquor Retailing; 4520 Pubs, Taverns and Bars; 6712 Non-Residential Property Operators",https://www.accc.gov.au/public-registers/mergers-and-acquisitions-registers/acquisitions-register/laundy-%E2%80%93-woy-woy-hotel-0,,The period for providing submissions or information in response to the ACCC’s Phase 1 questionnaire has concluded.,Y,,2026-07-24T10:18:54+10:00,2026-08-11T01:56:49.469233Z
